1404206723341,1,0
1404206723363,22,2,0
1404206724907,2,0
1404206724907,0,4,0
1404206724909,1,4,0
1404206725094,3,0
1404206725096,1,3,0
1404206725629,4,0
1404206725630,1,1,0
1404206726883,5,0
1404206726884,1,0,0
1404206726885,1,0,0
1404206730933,0,2,0
1404206732046,1,4,0
1404206748582,2,2,0
1404206751644,1,0,0
1404206761056,1,0,0
1404206769938,1,2,0
1404206776886,1,0,0
1404206782378,0,2,0
1404206797362,0,0,0
1404206821360,1,0,0
1404206832984,2,0,0
1404206846034,1,4,0
1404206859780,0,1,0
1404206868331,1,3,0
1404206877710,0,1,0
1404206885256,0,1,0
1404206886018,0,2,0
1404206891523,0,1,0
1404206892819,1,2,0
1404206913124,0,1,0
1404206918806,1,1,0
1404206922082,1,0,0
1404206924068,0,2,0
1404206928684,1,2,0
1404206946644,0,4,0
1404206957194,1,0,0
1404206959961,0,1,0
1404206964107,0,4,0
1404206968325,0,1,1
1404206987530,0,1,0
1404206991984,0,4,0
1404206996891,0,4,0
1404207003353,1,4,1
1404207013802,1,4,0
1404207018956,1,1,0
1404207029607,1,1,0
1404207048174,0,2,1
1404207051926,0,2,0
1404207059261,2,2,0
1404207061577,1,3,0
1404207113765,1,1,0
1404207123997,1,3,0
1404207135339,1,0,0
1404207152248,1,3,0
1404207186515,1,2,0
